inLat,inLong,outLat,outLong,coord_string,parse_error
31.313,131.467,31.01889,131.46667,"31°18.80′ N, 131°28.00′ E",Parsed coordinates do not match original
26.55,127.538,26.05083,127.53333,"26°33.00′ N, 127°32.30′ E",Parsed coordinates do not match original
26.825,127.7,26.06917,127.70000,"26°49.50′ N, 127°42.00′ E",Parsed coordinates do not match original
26.244,127.517,26.01778,127.51667,"26°14.64′ N, 127°31.01′ E",Parsed coordinates do not match original
27.981,129.28,27.08556,129.26667,"27°58.83′ N, 129°16.80′ E",Parsed coordinates do not match original
26.536,127.733,26.05056,127.71667,"26°32.18′ N, 127°43.96′ E",Parsed coordinates do not match original
26.318,127.426,26.01917,127.41667,"26°19.10′ N, 127°25.56′ E",Parsed coordinates do not match original
26.246,127.532,26.01778,127.51667,"26°14.75′ N, 127°31.90′ E",Parsed coordinates do not match original
28.153,129.525,28.00250,129.51667,"28°09.20′ N, 129°31.50′ E",Parsed coordinates do not match original
26.548,127.732,26.05056,127.71667,"26°32.90′ N, 127°43.94′ E",Parsed coordinates do not match original
2.067,-82.1,,,"24′ N, 82°06′ W",Coordinate not parsed
3.117,-83.117,,,"37′ N, 83°07′ W",Coordinate not parsed
29.8486,102.304,29.83417,102.30267,"29°50′55.05″ N, 102°18′16.16″ E",Parsed coordinates do not match original
-42.677,146.623,-42.06667,146.61667,"42°40.6′ S, 146°37.4′ E",Parsed coordinates do not match original
-42.883,147.218,-42.08417,147.21667,"42°53.0′ S, 147°13.1′ E",Parsed coordinates do not match original
27.907,98.659,27.08444,98.65000,"27°54.41′ N, 98°39.55′ E",Parsed coordinates do not match original
-31.3976,-65.41,-31.38833,-65.41500,"31°23′51.3″S, 65°24′35.9″W",Parsed coordinates do not match original
-32.7965,-65.4658,-32.79000,-65.46500,"32°47′47.4″S, 65°27′56.9″W",Parsed coordinates do not match original
-30.8809,-64.5335,-30.87000,-64.54500,"30°52′51.2″S, 64°32′00.7″W",Parsed coordinates do not match original
-30.8442,-64.4747,-30.83500,-64.48083,"30°50′39.1″S, 64°28′28.85″W",Parsed coordinates do not match original
-32.3335,-64.3616,-32.34333,-64.36500,"32°20′00.6″S, 64°21′41.9″W",Parsed coordinates do not match original
-30.8938,-64.5338,-30.89333,-64.54500,"30°53′37.6″S, 64°32′01.7″W",Parsed coordinates do not match original
-30.9829,-64.112,-30.97667,-64.10167,"30°58′58.6″S, 64°06′43.1″W",Parsed coordinates do not match original
38.672,35.526,38.06667,35.51667,"38°40.30′ N, 035°31.57′ E",Parsed coordinates do not match original
38.539,35.531,38.05056,35.51667,"38°32.31′ N, 035°31.84′ E",Parsed coordinates do not match original
41.589,1.835,41.05139,1.83333,"41°35.31′ N, 01°50.07′ E",Parsed coordinates do not match original
5.083,-29.533,,,"55′N, 29°32′W",Coordinate not parsed
-58.739,-25.175,-58.06778,25.16667,"58°44.35′ S, 25°10.48′ W",Parsed coordinates do not match original
-65.336,-54.239,-65.03333,54.23333,"65°20.15′ S, 54°14.35′ W",Parsed coordinates do not match original
24.588,-17.078,24.05139,17.06667,"24°35.3′N, 17°4.7′W",Parsed coordinates do not match original
1.1,-35.517,,,"16′N, 35°31′W",Coordinate not parsed
43.833,-6.148,43.08333,6.13333,"43°50.0'N, 06°08.9'W",Parsed coordinates do not match original
21.1583,-156.585,21.15833,-156.58472,"21°9′30″N, 156°35′5″W",Parsed coordinates do not match original
1.785,96.978,1.06861,96.96667,"1°47.1′N, 96°58.7′E",Parsed coordinates do not match original
43.513,18.013,18.00000,-43.05000,"43°30.767’W, 18°00.799’S",Parsed coordinates do not match original
-12.528,49.178,-12.05028,49.16667,"12° 31.667' S, 49° 10.667' E",Parsed coordinates do not match original
-21.264,47.419,-21.01806,47.41667,"21° 15.846' S, 47° 25.161' E",Parsed coordinates do not match original
-21.257,47.418,-21.01806,47.41667,"21° 15.442' S, 47° 25.096' E",Parsed coordinates do not match original
-21.258,47.36,-21.01806,47.35000,"21° 15.453' S, 47° 21.609' E",Parsed coordinates do not match original
-27.6303,-48.4622,-27.61833,-48.45000,"27°37′49.1″S, 48°27′44.0″W",Parsed coordinates do not match original
48.7261,11.3232,48.71833,11.32667,48°43′34.1″N 11°19′23.6″E,Parsed coordinates do not match original
53.4795,12.3357,53.47233,12.34100,53°28′46.34″N 12°20′08.46″E,Parsed coordinates do not match original
42.1328,22.807,42.11833,22.80333,42°07′ 58.1″N 22°48′25.2″E,Parsed coordinates do not match original
55.38,38.57,55.03389,38.56667,55°22.8′N 38°34.2′ E,Parsed coordinates do not match original
51.786,87.231,51.06861,87.21667,51°47.16′ N 87°13.86′ E,Parsed coordinates do not match original
31.1339,-77.1004,31.14917,-77.10867,"31°81.95 N, 77°61.52 W",Parsed coordinates do not match original
31.1346,-77.1003,31.14283,-77.10267,"31°84.57 N, 77°61.16 W",Parsed coordinates do not match original
38.607,-73.889,38.05167,73.88333,"38°36.39 N, 73°53.33 W",Parsed coordinates do not match original
24.63,-81.972,24.05194,81.96667,"24°37.78 N, 81°58.33 W",Parsed coordinates do not match original
28.62,-115.306,28.05194,115.30000,"28°37.17 N, 115°18.33 W",Parsed coordinates do not match original
31.722,-79.195,31.06750,79.18333,"31°43.33 N, 79°11.67 W",Parsed coordinates do not match original
30.1521,-79.1012,30.15833,-79.10283,"30°97.50 N, 79°64.17 W",Parsed coordinates do not match original
31.25,-79.931,31.01806,79.91667,"31°15.00 N, 79°55.83 W",Parsed coordinates do not match original
-3.03,134.835,,,"3°1.8′S, 134°50.1′E",Coordinate not parsed
17.085,121.144,17.00139,121.13333,"17° 05.08′ N, 121° 08.62′ E",Parsed coordinates do not match original
17.021,121.117,17.00028,121.11667,"17° 01.27′ N, 121° 07.00′ E",Parsed coordinates do not match original
17.014,121.128,17.00000,121.11667,"17° 00.81′ N, 121° 07.69′ E",Parsed coordinates do not match original
17.122,121.17,17.00194,121.16667,"17° 07.34′ N, 121° 10.20′ E",Parsed coordinates do not match original
49.924,-6.107,49.08472,6.10000,"49°55.43′ N, 06°6.41′ W",Parsed coordinates do not match original
49.908,-6.452,49.08444,6.45000,"49°54.46′ N, 06°27.09′ W",Parsed coordinates do not match original
49.904,-6.419,49.08444,6.41667,"49°54.24′ N, 06°25.13′ W",Parsed coordinates do not match original
49.896,-6.362,49.08417,6.35000,"49°53.77′ N, 06°21.71′ W",Parsed coordinates do not match original
49.963,-6.306,49.08528,6.30000,"49°57.77′ N, 06°18.36′ W",Parsed coordinates do not match original
49.896,-6.351,49.08417,6.35000,"49°53.78′ N, 06°21.03′ W",Parsed coordinates do not match original
49.923,-6.31,49.08472,6.30000,"49°55.36′ N, 06°18.57′ W",Parsed coordinates do not match original
49.882,-6.352,49.08389,6.35000,"49°52.93′ N, 06°21.10′ W",Parsed coordinates do not match original
49.923,-6.274,49.08472,6.26667,"49°55.36′ N, 06°16.43′ W",Parsed coordinates do not match original
49.967,-6.36,49.08556,6.35000,"49°58.03′ N, 06°21.60′ W",Parsed coordinates do not match original
49.92,-6.309,49.08472,6.30000,"49°55.18′ N, 06°18.56′ W",Parsed coordinates do not match original
